LP13-A01 실제 진단 1회. exit1,36840ms. HTTP4003ms timeout. 정상 종료 확인 실패·root 보존, generic 사후진단 미실행.

개별 HTTP 실행 결과(전체 앱 PASS와 별개)
제목 | 수행내용 | 결과(pass/fail)
HTTP-179 | GET timeline, timeline=79, status=200, 0ms, ok | pass
HTTP-180 | GET tap, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-181 | GET timeline, timeline=80, status=200, 27ms, ok | pass
HTTP-182 | PUT rule, timeline=해당없음, status=200, 1ms, ok | pass
HTTP-183 | GET tap-events, timeline=해당없음, status=200, 9ms, ok | pass
HTTP-184 | PUT rule, timeline=해당없음, status=200, 2ms, ok | pass
HTTP-185 | GET timeline, timeline=81, status=200, 13ms, ok | pass
HTTP-186 | GET timeline, timeline=82, status=200, 11ms, ok | pass
HTTP-187 | GET timeline, timeline=83, status=200, 12ms, ok | pass
HTTP-188 | GET timeline, timeline=84, status=200, 14ms, ok | pass
HTTP-189 | GET timeline, timeline=85, status=200, 12ms, ok | pass
HTTP-190 | GET timeline, timeline=86, status=200, 11ms, ok | pass
HTTP-191 | GET timeline, timeline=87, status=200, 12ms, ok | pass
HTTP-192 | GET timeline, timeline=88, status=200, 10ms, ok | pass
HTTP-193 | GET timeline, timeline=89, status=200, 12ms, ok | pass
HTTP-194 | GET timeline, timeline=90, status=200, 12ms, ok | pass
HTTP-195 | GET timeline, timeline=91, status=200, 11ms, ok | pass
HTTP-196 | GET timeline, timeline=92, status=200, 10ms, ok | pass
HTTP-197 | GET timeline, timeline=93, status=200, 13ms, ok | pass
HTTP-198 | GET timeline, timeline=94, status=200, 11ms, ok | pass
HTTP-199 | GET timeline, timeline=95, status=200, 12ms, ok | pass
HTTP-200 | GET timeline, timeline=96, status=200, 11ms, ok | pass
HTTP-201 | GET timeline, timeline=97, status=200, 13ms, ok | pass
HTTP-202 | GET timeline, timeline=98, status=200, 10ms, ok | pass
HTTP-203 | GET timeline, timeline=99, status=200, 11ms, ok | pass
HTTP-204 | GET timeline, timeline=100, status=200, 10ms, ok | pass
HTTP-205 | GET timeline, timeline=101, status=200, 11ms, ok | pass
HTTP-206 | GET timeline, timeline=102, status=200, 10ms, ok | pass
HTTP-207 | GET timeline, timeline=103, status=200, 11ms, ok | pass
HTTP-208 | GET timeline, timeline=104, status=200, 10ms, ok | pass
HTTP-209 | GET timeline, timeline=105, status=200, 11ms, ok | pass
HTTP-210 | GET timeline, timeline=106, status=200, 12ms, ok | pass
HTTP-211 | GET timeline, timeline=107, status=200, 11ms, ok | pass
HTTP-212 | GET timeline, timeline=108, status=200, 10ms, ok | pass
HTTP-213 | GET timeline, timeline=109, status=200, 11ms, ok | pass
HTTP-214 | GET timeline, timeline=110, status=200, 10ms, ok | pass
HTTP-215 | GET timeline, timeline=111, status=200, 12ms, ok | pass
HTTP-216 | GET timeline, timeline=112, status=200, 10ms, ok | pass
HTTP-217 | GET timeline, timeline=113, status=200, 12ms, ok | pass
HTTP-218 | GET timeline, timeline=114, status=200, 13ms, ok | pass
HTTP-219 | GET timeline, timeline=115, status=200, 11ms, ok | pass
HTTP-220 | GET timeline, timeline=116, status=200, 11ms, ok | pass
HTTP-221 | GET timeline, timeline=117, status=200, 12ms, ok | pass
HTTP-222 | GET timeline, timeline=118, status=200, 11ms, ok | pass
HTTP-223 | GET timeline, timeline=119, status=200, 12ms, ok | pass
HTTP-224 | GET timeline, timeline=120, status=200, 10ms, ok | pass
HTTP-225 | GET timeline, timeline=121, status=200, 11ms, ok | pass
HTTP-226 | GET timeline, timeline=122, status=200, 11ms, ok | pass
HTTP-227 | GET timeline, timeline=123, status=200, 11ms, ok | pass
HTTP-228 | GET timeline, timeline=124, status=200, 11ms, ok | pass
HTTP-229 | GET timeline, timeline=125, status=200, 12ms, ok | pass
HTTP-230 | GET timeline, timeline=126, status=200, 10ms, ok | pass
HTTP-231 | GET timeline, timeline=127, status=200, 11ms, ok | pass
HTTP-232 | GET timeline, timeline=128, status=200, 10ms, ok | pass
HTTP-233 | GET timeline, timeline=129, status=200, 12ms, ok | pass
HTTP-234 | GET timeline, timeline=130, status=200, 13ms, ok | pass
HTTP-235 | GET timeline, timeline=131, status=200, 12ms, ok | pass
HTTP-236 | GET timeline, timeline=132, status=200, 11ms, ok | pass
HTTP-237 | GET timeline, timeline=133, status=200, 12ms, ok | pass
HTTP-238 | GET timeline, timeline=134, status=200, 11ms, ok | pass
HTTP-239 | GET timeline, timeline=135, status=200, 12ms, ok | pass
HTTP-240 | GET timeline, timeline=136, status=200, 11ms, ok | pass
HTTP-241 | GET timeline, timeline=137, status=200, 12ms, ok | pass
HTTP-242 | GET timeline, timeline=138, status=200, 11ms, ok | pass
HTTP-243 | GET timeline, timeline=139, status=200, 11ms, ok | pass
HTTP-244 | GET timeline, timeline=140, status=200, 11ms, ok | pass
HTTP-245 | GET timeline, timeline=141, status=200, 11ms, ok | pass
HTTP-246 | GET timeline, timeline=142, status=200, 10ms, ok | pass
HTTP-247 | GET timeline, timeline=143, status=200, 12ms, ok | pass
HTTP-248 | GET timeline, timeline=144, status=200, 10ms, ok | pass
HTTP-249 | GET timeline, timeline=145, status=200, 11ms, ok | pass
HTTP-250 | GET timeline, timeline=146, status=200, 13ms, ok | pass
HTTP-251 | GET timeline, timeline=147, status=200, 11ms, ok | pass
HTTP-252 | GET timeline, timeline=148, status=200, 10ms, ok | pass
HTTP-253 | GET timeline, timeline=149, status=200, 11ms, ok | pass
HTTP-254 | GET timeline, timeline=150, status=200, 10ms, ok | pass
HTTP-255 | GET timeline, timeline=151, status=200, 11ms, ok | pass
HTTP-256 | GET timeline, timeline=152, status=200, 11ms, ok | pass
HTTP-257 | GET timeline, timeline=153, status=200, 12ms, ok | pass
HTTP-258 | GET timeline, timeline=154, status=200, 13ms, ok | pass
HTTP-259 | GET timeline, timeline=155, status=200, 12ms, ok | pass
HTTP-260 | GET timeline, timeline=156, status=200, 11ms, ok | pass
HTTP-261 | GET timeline, timeline=157, status=200, 12ms, ok | pass
HTTP-262 | GET timeline, timeline=158, status=200, 11ms, ok | pass
HTTP-263 | GET timeline, timeline=159, status=200, 12ms, ok | pass
HTTP-264 | GET timeline, timeline=160, status=200, 10ms, ok | pass
HTTP-265 | GET timeline, timeline=161, status=200, 11ms, ok | pass
HTTP-266 | GET timeline, timeline=162, status=200, 11ms, ok | pass
HTTP-267 | GET timeline, timeline=163, status=200, 12ms, ok | pass
HTTP-268 | GET timeline, timeline=164, status=200, 11ms, ok | pass
HTTP-269 | GET timeline, timeline=165, status=200, 12ms, ok | pass
HTTP-270 | GET timeline, timeline=166, status=200, 10ms, ok | pass
HTTP-271 | GET timeline, timeline=167, status=200, 12ms, ok | pass
HTTP-272 | GET timeline, timeline=168, status=200, 11ms, ok | pass
HTTP-273 | GET timeline, timeline=169, status=200, 12ms, ok | pass
HTTP-274 | GET timeline, timeline=170, status=200, 11ms, ok | pass
HTTP-275 | GET timeline, timeline=171, status=200, 11ms, ok | pass
HTTP-276 | GET timeline, timeline=172, status=200, 10ms, ok | pass
HTTP-277 | GET timeline, timeline=173, status=200, 11ms, ok | pass
HTTP-278 | GET timeline, timeline=174, status=200, 11ms, ok | pass
HTTP-279 | GET timeline, timeline=175, status=200, 11ms, ok | pass
HTTP-280 | GET timeline, timeline=176, status=200, 10ms, ok | pass
HTTP-281 | GET timeline, timeline=177, status=200, 12ms, ok | pass
HTTP-282 | GET timeline, timeline=178, status=200, 13ms, ok | pass
HTTP-283 | GET timeline, timeline=179, status=200, 11ms, ok | pass
HTTP-284 | GET timeline, timeline=180, status=200, 10ms, ok | pass
HTTP-285 | GET timeline, timeline=181, status=200, 11ms, ok | pass
HTTP-286 | GET timeline, timeline=182, status=200, 10ms, ok | pass
HTTP-287 | GET timeline, timeline=183, status=200, 11ms, ok | pass
HTTP-288 | GET timeline, timeline=184, status=200, 11ms, ok | pass
HTTP-289 | GET timeline, timeline=185, status=200, 12ms, ok | pass
HTTP-290 | GET timeline, timeline=186, status=200, 10ms, ok | pass
HTTP-291 | GET timeline, timeline=187, status=200, 12ms, ok | pass
HTTP-292 | GET timeline, timeline=188, status=200, 11ms, ok | pass
HTTP-293 | GET timeline, timeline=189, status=200, 12ms, ok | pass
HTTP-294 | GET timeline, timeline=190, status=200, 11ms, ok | pass
HTTP-295 | GET timeline, timeline=191, status=200, 11ms, ok | pass
HTTP-296 | GET timeline, timeline=192, status=200, 10ms, ok | pass
HTTP-297 | GET timeline, timeline=193, status=200, 11ms, ok | pass
HTTP-298 | GET timeline, timeline=194, status=200, 10ms, ok | pass
HTTP-299 | GET timeline, timeline=195, status=200, 11ms, ok | pass
HTTP-300 | GET timeline, timeline=196, status=200, 10ms, ok | pass
HTTP-301 | GET timeline, timeline=197, status=200, 11ms, ok | pass
HTTP-302 | GET timeline, timeline=198, status=200, 10ms, ok | pass
HTTP-303 | GET timeline, timeline=199, status=200, 13ms, ok | pass
HTTP-304 | GET timeline, timeline=200, status=200, 10ms, ok | pass
HTTP-305 | GET timeline, timeline=201, status=200, 11ms, ok | pass
HTTP-306 | GET timeline, timeline=202, status=200, 10ms, ok | pass
HTTP-307 | GET timeline, timeline=203, status=200, 11ms, ok | pass
HTTP-308 | GET timeline, timeline=204, status=200, 11ms, ok | pass
HTTP-309 | GET timeline, timeline=205, status=200, 12ms, ok | pass
HTTP-310 | GET timeline, timeline=206, status=200, 10ms, ok | pass
HTTP-311 | GET timeline, timeline=207, status=200, 12ms, ok | pass
HTTP-312 | GET timeline, timeline=208, status=200, 10ms, ok | pass
HTTP-313 | GET timeline, timeline=209, status=200, 11ms, ok | pass
HTTP-314 | GET timeline, timeline=210, status=200, 11ms, ok | pass
HTTP-315 | GET timeline, timeline=211, status=200, 12ms, ok | pass
HTTP-316 | GET timeline, timeline=212, status=200, 11ms, ok | pass
HTTP-317 | GET timeline, timeline=213, status=200, 22ms, ok | pass
HTTP-318 | GET timeline, timeline=214, status=200, 23ms, ok | pass
HTTP-319 | GET timeline, timeline=215, status=200, 23ms, ok | pass
HTTP-320 | GET timeline, timeline=216, status=200, 22ms, ok | pass
HTTP-321 | GET timeline, timeline=217, status=200, 23ms, ok | pass
HTTP-322 | GET timeline, timeline=218, status=200, 22ms, ok | pass
HTTP-323 | GET timeline, timeline=219, status=200, 22ms, ok | pass
HTTP-324 | GET timeline, timeline=220, status=200, 23ms, ok | pass
HTTP-325 | GET timeline, timeline=221, status=200, 23ms, ok | pass
HTTP-326 | GET timeline, timeline=222, status=200, 374ms, ok | pass
HTTP-327 | GET timeline, timeline=223, status=200, 820ms, ok | pass
HTTP-328 | GET timeline, timeline=224, status=200, 1556ms, ok | pass
HTTP-329 | GET timeline, timeline=225, status=200, 23ms, ok | pass
HTTP-330 | GET timeline, timeline=226, status=200, 29ms, ok | pass
HTTP-331 | GET timeline, timeline=227, status=200, 23ms, ok | pass
HTTP-332 | GET timeline, timeline=228, status=200, 23ms, ok | pass
HTTP-333 | GET timeline, timeline=229, status=200, 24ms, ok | pass
HTTP-334 | GET timeline, timeline=230, status=200, 23ms, ok | pass
HTTP-335 | GET timeline, timeline=231, status=200, 22ms, ok | pass
HTTP-336 | GET timeline, timeline=232, status=200, 24ms, ok | pass
HTTP-337 | GET timeline, timeline=233, status=200, 23ms, ok | pass
HTTP-338 | GET timeline, timeline=234, status=200, 23ms, ok | pass
HTTP-339 | GET timeline, timeline=235, status=200, 23ms, ok | pass
HTTP-340 | GET timeline, timeline=236, status=200, 23ms, ok | pass
HTTP-341 | GET timeline, timeline=237, status=200, 22ms, ok | pass
HTTP-342 | GET timeline, timeline=238, status=200, 23ms, ok | pass
HTTP-343 | GET timeline, timeline=239, status=200, 23ms, ok | pass
HTTP-344 | GET timeline, timeline=240, status=200, 23ms, ok | pass
HTTP-345 | GET timeline, timeline=241, status=200, 24ms, ok | pass
HTTP-346 | GET timeline, timeline=242, status=200, 24ms, ok | pass
HTTP-347 | GET timeline, timeline=243, status=200, 22ms, ok | pass
HTTP-348 | GET timeline, timeline=244, status=200, 23ms, ok | pass
HTTP-349 | GET timeline, timeline=245, status=200, 23ms, ok | pass
HTTP-350 | GET timeline, timeline=246, status=200, 22ms, ok | pass
HTTP-351 | GET timeline, timeline=247, status=200, 23ms, ok | pass
HTTP-352 | GET timeline, timeline=248, status=200, 23ms, ok | pass
HTTP-353 | GET timeline, timeline=249, status=200, 22ms, ok | pass
HTTP-354 | GET timeline, timeline=250, status=200, 23ms, ok | pass
HTTP-355 | GET timeline, timeline=251, status=200, 23ms, ok | pass
HTTP-356 | GET timeline, timeline=252, status=200, 22ms, ok | pass
HTTP-357 | GET timeline, timeline=253, status=200, 23ms, ok | pass
HTTP-358 | GET timeline, timeline=254, status=200, 23ms, ok | pass
HTTP-359 | GET timeline, timeline=255, status=200, 22ms, ok | pass
HTTP-360 | GET timeline, timeline=256, status=200, 23ms, ok | pass
HTTP-361 | GET timeline, timeline=257, status=200, 24ms, ok | pass
HTTP-362 | GET timeline, timeline=258, status=200, 23ms, ok | pass
HTTP-363 | GET timeline, timeline=259, status=200, 23ms, ok | pass
HTTP-364 | GET timeline, timeline=260, status=200, 23ms, ok | pass
HTTP-365 | GET timeline, timeline=261, status=200, 23ms, ok | pass
HTTP-366 | GET timeline, timeline=262, status=200, 23ms, ok | pass
HTTP-367 | GET timeline, timeline=263, status=200, 25ms, ok | pass
HTTP-368 | GET timeline, timeline=264, status=200, 22ms, ok | pass
HTTP-369 | GET timeline, timeline=265, status=200, 23ms, ok | pass
HTTP-370 | GET timeline, timeline=266, status=200, 24ms, ok | pass
HTTP-371 | GET timeline, timeline=267, status=200, 22ms, ok | pass
HTTP-372 | GET timeline, timeline=268, status=200, 24ms, ok | pass
HTTP-373 | GET timeline, timeline=269, status=200, 23ms, ok | pass
HTTP-374 | GET timeline, timeline=270, status=200, 22ms, ok | pass
HTTP-375 | GET timeline, timeline=271, status=200, 23ms, ok | pass
HTTP-376 | GET timeline, timeline=272, status=200, 23ms, ok | pass
HTTP-377 | GET timeline, timeline=273, status=200, 22ms, ok | pass
HTTP-378 | GET timeline, timeline=274, status=200, 23ms, ok | pass
HTTP-379 | GET timeline, timeline=275, status=200, 23ms, ok | pass
HTTP-380 | GET timeline, timeline=276, status=200, 22ms, ok | pass
HTTP-381 | GET timeline, timeline=277, status=200, 23ms, ok | pass
HTTP-382 | GET timeline, timeline=278, status=200, 23ms, ok | pass
HTTP-383 | GET timeline, timeline=279, status=200, 22ms, ok | pass
HTTP-384 | GET timeline, timeline=280, status=200, 23ms, ok | pass
HTTP-385 | GET timeline, timeline=281, status=200, 23ms, ok | pass
HTTP-386 | GET timeline, timeline=282, status=200, 1560ms, ok | pass
HTTP-387 | GET timeline, timeline=283, status=없음, 4003ms, timeout | fail
